athlete,school,round,pick,conf,position,height,weight,handsize,armlength,forty,bench,vertical,broad,shuttle,threecone
Marshawn Kneeland,Western Michigan,2,56,MAC,DE,75,267,9.13,34.5,4.75,21,35.5,119,4.18,7.02
Myles Cole,Texas Tech,7,236,Big12,DE,78,278,9.88,36.88,4.67,20,35,120,4.72,7.73
Nelson Ceaser,Houston,na,na,Big12,DE,74.75,254,10.25,33.63,4.91,22,31,,4.57,7.3
Solomon Byrd,USC,7,238,Pac12,DE,74.88,255,9.75,33.63,5.02,18,32,114,4.59,7.52
Trajan Jeffcoat,Arkansas,na,na,SEC,DE,75.88,266,10.13,32.75,4.69,21,31.5,120,4.52,7.38
Xavier Thomas,Clemson,5,138,ACC,DE,74.25,244,9.13,32.88,4.62,26,32.5,120,,
Zion Tupuola-Fetui,Washington,na,na,Pac12,DE,74.75,255,10.63,33.38,4.80,,,,,
Braden Fiske,Florida State,2,39,ACC,DT,75.63,292,9.38,31,4.78,26,33.5,117,4.37,
Brandon Dorlus,Oregon,4,109,Pac12,DT,75,283,9.38,33.25,4.85,23,30.5,111,4.85,7.43
Byron Murphy II,Texas,1,16,Big12,DT,72.5,306,10.25,32.38,4.87,28,33,111,4.5,7.5
Darius Robinson,Missouri,1,27,SEC,DT,77.13,285,10.63,34.5,4.95,21,35,111,4.76,7.87
DeWayne Carter,Duke,3,95,ACC,DT,74.38,302,10.25,33,4.99,24,32,109,4.75,7.95
Fabien Lovett,Florida State,na,na,ACC,DT,75.88,316,10.38,35.5,5.01,26,25.5,101,4.82,7.56
Gabe Hall,Baylor,na,na,Big12,DT,78,291,9.5,34.5,5.03,22,31.5,115,4.67,7.65
Jaden Crumedy,Mississippi State,6,200,SEC,DT,75.88,301,9.5,33,4.97,14,29.5,105,4.66,7.7
Johnny Newton,Illinois,2,36,Big10,DT,73.63,304,9.5,32.38,4.78,,,,,
Jordan Jefferson,Louisiana State,4,116,SEC,DT,74.75,313,9.88,33.13,5.08,34,31,104,,
Justin Eboigbe,Alabama,4,105,SEC,DT,76.38,297,9.75,33.38,5.18,18,28,,,
Justin Rogers,Auburn,7,244,SEC,DT,74.5,322,10.13,33,5.55,21,24.5,99,4.87,8.17
Keith Randolph,Illinois,na,na,Big10,DT,75.5,296,9.88,32.75,5.15,21,28.5,105,4.81,7.75
Kris Jenkins,Michigan,2,49,Big10,DT,74.75,299,9.38,34,4.91,29,30,115,4.78,
Leonard Taylor,Miami (FL),na,na,ACC,DT,75.5,303,9.75,33.88,5.12,,30,109,4.71,7.81
Logan Lee,Iowa,6,178,Big10,DT,77.38,281,10.25,32.25,5.05,25,31.5,114,4.37,7.16
Maason Smith,Louisiana State,2,48,SEC,DT,77.13,306,8.5,35,5.01,21,31,108,4.69,7.62
Marcus Harris,Auburn,7,247,SEC,DT,74.38,304,9.63,32,5.06,27,29.5,103,4.69,7.78
McKinnley Jackson,Texas A&M,3,97,SEC,DT,73.5,326,10,33.88,5.26,24,23,106,4.9,7.89
Mekhi Wingo,Louisiana State,6,186,SEC,DT,72.25,284,9.25,32,4.85,25,31.5,109,4.45,7.33
Michael Hall,Ohio State,2,54,Big10,DT,74.75,299,10,33.5,4.75,24,33,111,,
Myles Murphy,North Carolina,na,na,ACC,DT,76.13,309,9.75,33.88,5.2,20,28.5,106,4.81,
Ruke Orhorhoro,Clemson,2,35,ACC,DT,76,294,9.38,34,4.89,29,32,116,4.5,7.39
TVondre Sweat,Texas,2,38,Big12,DT,76.5,366,10.13,33.25,5.27,,26,98,,
Tyler Davis,Clemson,6,196,ACC,DT,74,301,9.25,31.38,5.02,29,28.5,108,5,7.74
Zion Logue,Georgia,6,197,SEC,DT,77.63,314,10,33.5,5.14,17,29,109,4.92,7.85
Jaheim Bell,Florida State,7,231,ACC,FB,74,241,10,33,4.61,,35,124,,
Andre Sam,Louisiana State,na,na,SEC,FS,70.88,191,9.25,30,4.59,14,36,123,4.32,7.03
Cole Bishop,Utah,2,60,Pac12,FS,74,206,9.5,29.75,4.45,,39,124,,
Dadrion Taylor-Demerson,Texas Tech,4,104,Big12,FS,70.38,197,9.63,30.88,4.41,,38,123,4.39,7
